idauniq,wave,nsight
100005,5,4
100005,9,5
100006,6,4
100007,4,4
100007,5,1
100007,6,4
100007,7,4
100007,8,3
100007,9,3
100009,3,3
100009,4,3
100009,5,4
100009,6,4
100009,7,3
100012,4,5
100012,5,5
100012,8,5
100012,9,5
100024,3,4
100024,4,4
100024,5,3
100025,3,3
100025,4,4
100025,5,3
100025,6,5
100025,7,3
100025,8,5
100025,9,3
100026,4,4
100026,5,5
100026,6,4
100026,7,5
100026,8,3
100026,9,4
100029,5,5
100029,7,3
100029,8,4
100029,9,4
100031,5,4
100031,7,3
100035,1,3
100035,2,4
100037,1,2
100038,1,5
100038,2,5
100039,5,3
100039,6,3
100039,7,5
100039,8,3
100039,9,5
100041,1,4
100042,1,4
100044,1,5
100044,2,4
100044,3,5
100045,1,3
100045,4,4
100047,3,3
100047,4,3
100047,5,3
100047,7,4
100047,8,5
100049,4,3
100049,5,5
100049,6,4
100049,8,4
100052,6,5
100052,7,5
100052,8,3
100052,9,5
100054,5,4
100054,6,2
100054,7,4
100054,8,3
100054,9,3
100055,3,4
100055,4,3
100055,5,5
100055,6,5
100055,7,4
100055,8,3
100056,3,3
100057,4,5
100057,5,4
100057,6,5
100057,7,5
100057,8,5
100057,9,4
100058,1,5
100058,2,5
100059,1,2
100059,2,2
100059,3,3
100059,4,3
100059,5,3
100061,4,3
100061,5,5
100061,6,4
100063,7,5
100063,8,5
100063,9,5
100067,1,3
100068,1,5
100068,2,3
100068,5,4
100068,6,3
100068,7,3
100069,2,2
100071,3,3
100071,4,3
100071,5,1
100071,6,3
100071,7,2
100071,8,3
100071,9,3
100074,1,4
100074,2,4
100074,3,4
100074,4,4
100075,2,5
100075,3,4
100077,1,3
100077,2,3
100077,3,3
100077,4,2
100077,5,2
100077,6,1
100077,7,2
100077,8,2
100077,9,3
100079,2,5
100080,5,5
100081,1,3
100081,2,2
100081,3,2
100081,4,3
100081,5,4
100081,6,3
100081,7,3
100082,6,5
100082,8,5
100082,9,4
100083,1,2
100088,1,4
100091,1,3
100091,2,4
100091,3,4
100091,4,2
100091,5,2
100091,6,4
100093,2,5
100093,3,4
100093,4,5
100093,5,5
100095,1,4
100095,2,3
100095,3,2
100095,4,5
100095,5,3
100095,6,2
100095,7,4
100095,8,1
100095,9,1
100096,8,4
100096,9,4
100098,1,3
100098,2,4
100098,3,4
