indicator,domain,measurement,general_loading,domain_loading,residual_sd,std_general_loading,std_domain_loading
depres,psychological,ordinal_probit,0.5846569710117436,1.4346503120368561,1.0,0.31707264910737293,0.7780431903395676
effort,psychological,ordinal_probit,0.8989561220984854,1.2421869831615933,1.0,0.49106787153247516,0.6785627272247239
sleep,psychological,ordinal_probit,0.2805208624943128,0.7042076349630011,1.0,0.22355273837057538,0.5611972805788628
happy,psychological,ordinal_probit,0.2596412328318638,1.2104782245016463,1.0,0.16314894323530607,0.7606197250830375
lonely,psychological,ordinal_probit,0.5405461223011404,0.9023957284723503,1.0,0.3724355965701377,0.6217495188851061
going,psychological,ordinal_probit,0.7070019692580065,1.1792067011397969,1.0,0.4158561557604806,0.6936053743918769
wspeed,locomotor,continuous,0.65128273476054,0.11630595669919289,0.7659396555295204,0.6434922121368929,0.11491472653359804
chr5sec,locomotor,continuous,0.5571767914036495,0.33732644588099214,0.7684685883366275,0.5531045937461199,0.33486105251943665
balance,locomotor,ordinal_probit,0.5218802436261323,0.055178194178393515,1.0,0.46211177354739663,0.048858897197853746
grip,vitality,continuous,0.4963251887384162,0.7508543459028967,0.4971354275099836,0.4826968625361576,0.730237040578622
fev,vitality,continuous,0.5418696359427894,0.4597912614365837,0.7710325220440002,0.5167647509211322,0.43848907731946724
hba,vitality,continuous,0.2687554904999775,0.3885749566005922,0.863060685120667,0.27314838412368214,0.39492633735194543
imrc,cognitive,ordinal_probit,0.5471801069475123,1.325552404123154,1.0,0.31298133429082037,0.7582021985946681
dlrc,cognitive,ordinal_probit,0.5414231191468847,1.3492110087652356,1.0,0.30683981347207684,0.76463608520508
memory,cognitive,ordinal_probit,0.20163685515446877,0.25192783641766825,1.0,0.19189372905738106,0.2397546418114369
hearing,sensory,ordinal_probit,0.12742179462524397,0.30492510407593776,1.0,0.12098616941268052,0.28952441305988247
nsight,sensory,ordinal_probit,0.36222844996606274,1.4628119418445773,1.0,0.20028130453846357,0.8088097001616628
dsight,sensory,ordinal_probit,0.4313928528845463,1.48165175189794,1.0,0.23459848544736497,0.8057464434829616
