indicator,threshold_index,lower_category,upper_category,threshold
depres,1,0.0,1.0,-2.2354567488098485
effort,1,0.0,1.0,-2.0118478063994942
sleep,1,0.0,1.0,-0.5822779254193146
happy,1,0.0,1.0,-2.2066354647998074
lonely,1,0.0,1.0,-1.825943961807207
going,1,0.0,1.0,-1.7924903237987582
balance,1,1.0,2.0,-3.1644716266568094
balance,2,2.0,3.0,-2.3118578129423133
balance,3,3.0,4.0,-1.0566545640147988
imrc,1,0.0,1.0,-3.709317241999977
imrc,2,1.0,2.0,-3.2055812251993387
imrc,3,2.0,3.0,-2.981515939426261
imrc,4,3.0,4.0,-2.5756649142187746
imrc,5,4.0,5.0,-1.7272736373289082
imrc,6,5.0,6.0,-0.5583091417530333
imrc,7,6.0,7.0,0.7250715396686065
imrc,8,7.0,8.0,2.0250824788139523
imrc,9,8.0,9.0,3.1713686371987775
imrc,10,9.0,10.0,3.967411486824256
dlrc,1,0.0,1.0,-2.683101455267732
dlrc,2,1.0,2.0,-2.3928395181980746
dlrc,3,2.0,3.0,-1.9840170270511885
dlrc,4,3.0,4.0,-1.2473857117469005
dlrc,5,4.0,5.0,-0.23645212493205792
dlrc,6,5.0,6.0,0.9086793845520194
dlrc,7,6.0,7.0,2.0006530095141453
dlrc,8,7.0,8.0,2.929575840363315
dlrc,9,8.0,9.0,3.6526567988703706
dlrc,10,9.0,10.0,4.201643761091017
memory,1,0.0,1.0,-3.0949981763421475
memory,2,1.0,2.0,-2.7232535514549054
memory,3,2.0,3.0,-2.2322767385761946
memory,4,3.0,4.0,-0.9213358998540104
hearing,1,1.0,2.0,-1.9203231966542404
hearing,2,2.0,3.0,-0.8978702909802943
hearing,3,3.0,4.0,0.12607367566938232
hearing,4,4.0,5.0,1.0073277613840268
nsight,1,1.0,2.0,-3.3444239099566366
nsight,2,2.0,3.0,-2.6076763534402585
nsight,3,3.0,4.0,-0.5931811046995925
nsight,4,4.0,5.0,1.6180801236700462
dsight,1,1.0,2.0,-3.439154820715157
dsight,2,2.0,3.0,-2.874252400042209
dsight,3,3.0,4.0,-0.876908115085937
dsight,4,4.0,5.0,1.291784163850441
