indicator,domain,measurement,loading,residual_sd,std_loading
depres,psychological,ordinal_probit,0.7359357270914656,1.0,0.592725811154064
effort,psychological,ordinal_probit,0.7504106964284999,1.0,0.6002102144013904
sleep,psychological,ordinal_probit,0.6513280033770661,1.0,0.5457703841893127
happy,psychological,ordinal_probit,0.6576457153138842,1.0,0.549471283148169
lonely,psychological,ordinal_probit,0.6568820799379479,1.0,0.5490256541743509
going,psychological,ordinal_probit,0.7300172185867264,1.0,0.5896205756938386
wspeed,locomotor,continuous,0.6752935829511091,0.8350897234001426,0.6287867067227412
chr5sec,locomotor,continuous,0.6448217229848943,0.8688326980778363,0.5959684713752255
balance,locomotor,ordinal_probit,0.5178904112805541,1.0,0.45987754219747934
grip,vitality,continuous,0.7781215664934528,0.6689789379942072,0.7582842425061188
fev,vitality,continuous,0.6511160310354096,0.7890736323186672,0.63645872801947
hba,vitality,continuous,0.35529157685078294,1.159137685705512,0.29305627236107384
imrc,cognitive,ordinal_probit,0.6142475546014131,1.0,0.5233944983291761
dlrc,cognitive,ordinal_probit,0.6323955967230517,1.0,0.5344863005104941
memory,cognitive,ordinal_probit,0.4979182033922307,1.0,0.445722122468552
hearing,sensory,ordinal_probit,0.3854973011956118,1.0,0.35969582052910015
nsight,sensory,ordinal_probit,0.7007924514192168,1.0,0.5738978068109044
dsight,sensory,ordinal_probit,0.7312602992906367,1.0,0.5902749590598123
