indicator,threshold_index,lower_category,upper_category,threshold
depres,1,0.0,1.0,-1.3859557213928304
effort,1,0.0,1.0,-1.2499847084878373
sleep,1,0.0,1.0,-0.4734753261247511
happy,1,0.0,1.0,-1.5638494634569085
lonely,1,0.0,1.0,-1.4107468511520675
going,1,0.0,1.0,-1.1954231661769383
balance,1,1.0,2.0,-3.0912594687511104
balance,2,2.0,3.0,-2.252780420123321
balance,3,3.0,4.0,-1.1970028666875248
imrc,1,0.0,1.0,-2.6907728004850324
imrc,2,1.0,2.0,-2.038570030968331
imrc,3,2.0,3.0,-1.800518969953783
imrc,4,3.0,4.0,-1.4188109703551335
imrc,5,4.0,5.0,-0.8109851670441861
imrc,6,5.0,6.0,-0.11535964332555304
imrc,7,6.0,7.0,0.623643062702286
imrc,8,7.0,8.0,1.3620615792208244
imrc,9,8.0,9.0,2.1141172454520816
imrc,10,9.0,10.0,2.78663670381849
dlrc,1,0.0,1.0,-1.6220676617737766
dlrc,2,1.0,2.0,-1.3515098569973667
dlrc,3,2.0,3.0,-1.021816580164692
dlrc,4,3.0,4.0,-0.534528924715636
dlrc,5,4.0,5.0,0.062397308508603366
dlrc,6,5.0,6.0,0.7060862713718952
dlrc,7,6.0,7.0,1.3129717069547437
dlrc,8,7.0,8.0,1.8954761588120048
dlrc,9,8.0,9.0,2.455330757744612
dlrc,10,9.0,10.0,2.9565386463340717
memory,1,0.0,1.0,-3.110382057436343
memory,2,1.0,2.0,-2.7445294433189997
memory,3,2.0,3.0,-2.274189338300986
memory,4,3.0,4.0,-1.1053197340060414
hearing,1,1.0,2.0,-1.7355478273240685
hearing,2,2.0,3.0,-0.7482620013542258
hearing,3,3.0,4.0,0.285309671180068
hearing,4,4.0,5.0,1.143495423690324
nsight,1,1.0,2.0,-2.156947938913593
nsight,2,2.0,3.0,-1.3850892657344236
nsight,3,3.0,4.0,-0.09762240595831839
nsight,4,4.0,5.0,1.111067562632087
dsight,1,1.0,2.0,-2.1921512648634973
dsight,2,2.0,3.0,-1.5822390018918648
dsight,3,3.0,4.0,-0.27285979166395036
dsight,4,4.0,5.0,0.9077223847123523
