event,elapsed_seconds,evaluation,iteration,log_likelihood,negative_log_likelihood,best_log_likelihood
evaluation,0.924578,1,0,-852084.318802,852084.318802,-852084.318802
evaluation,1.842343,2,0,-852084.318791,852084.318791,-852084.318791
evaluation,2.755888,3,0,-852084.318762,852084.318762,-852084.318762
evaluation,3.703291,4,0,-852084.318835,852084.318835,-852084.318762
evaluation,4.636823,5,0,-852084.318818,852084.318818,-852084.318762
evaluation,5.590086,6,0,-852084.318803,852084.318803,-852084.318762
evaluation,6.523080,7,0,-852084.318776,852084.318776,-852084.318762
evaluation,7.443378,8,0,-852084.31877,852084.31877,-852084.318762
evaluation,8.343153,9,0,-852084.318802,852084.318802,-852084.318762
evaluation,9.378430,10,0,-852084.3188,852084.3188,-852084.318762
evaluation,10.323556,11,0,-852084.318795,852084.318795,-852084.318762
evaluation,11.266406,12,0,-852084.318792,852084.318792,-852084.318762
evaluation,12.196196,13,0,-852084.318858,852084.318858,-852084.318762
evaluation,13.197137,14,0,-852084.318821,852084.318821,-852084.318762
evaluation,14.110302,15,0,-852084.318814,852084.318814,-852084.318762
evaluation,15.073552,16,0,-852084.318845,852084.318845,-852084.318762
evaluation,16.063938,17,0,-852084.318884,852084.318884,-852084.318762
evaluation,17.031859,18,0,-852084.318806,852084.318806,-852084.318762
evaluation,18.054026,19,0,-852084.318805,852084.318805,-852084.318762
evaluation,18.999759,20,0,-852084.318769,852084.318769,-852084.318762
evaluation,19.927837,21,0,-852084.318771,852084.318771,-852084.318762
evaluation,20.912916,22,0,-852084.318782,852084.318782,-852084.318762
evaluation,21.893562,23,0,-852084.318785,852084.318785,-852084.318762
evaluation,22.850728,24,0,-852084.318792,852084.318792,-852084.318762
evaluation,23.796211,25,0,-852084.318774,852084.318774,-852084.318762
evaluation,24.818697,26,0,-852084.318795,852084.318795,-852084.318762
evaluation,25.784389,27,0,-852084.318791,852084.318791,-852084.318762
evaluation,26.745165,28,0,-852084.318807,852084.318807,-852084.318762
evaluation,27.637640,29,0,-852084.318775,852084.318775,-852084.318762
evaluation,28.610230,30,0,-852084.318781,852084.318781,-852084.318762
evaluation,29.556620,31,0,-852084.318824,852084.318824,-852084.318762
evaluation,30.515117,32,0,-852084.318785,852084.318785,-852084.318762
