indicator,threshold_index,lower_category,upper_category,threshold
depres,1,0.0,1.0,-1.8061568409094602
effort,1,0.0,1.0,-1.4290984666867772
sleep,1,0.0,1.0,-0.3536492346938384
happy,1,0.0,1.0,-1.8496437819501101
lonely,1,0.0,1.0,-1.503013969807426
going,1,0.0,1.0,-1.3153187356442908
balance,1,1.0,2.0,-2.5582566321755644
balance,2,2.0,3.0,-1.6203793971041052
balance,3,3.0,4.0,-0.6253187978316235
imrc,1,0.0,1.0,-2.8624312624857593
imrc,2,1.0,2.0,-2.5156875696703933
imrc,3,2.0,3.0,-2.2705115004067427
imrc,4,3.0,4.0,-1.8173646143758189
imrc,5,4.0,5.0,-1.0806304140947387
imrc,6,5.0,6.0,-0.10347361784615394
imrc,7,6.0,7.0,1.0059416575261118
imrc,8,7.0,8.0,2.0624192387571556
imrc,9,8.0,9.0,2.9556694311675775
imrc,10,9.0,10.0,3.72795672954432
dlrc,1,0.0,1.0,-1.8606990038405042
dlrc,2,1.0,2.0,-1.6113190962584796
dlrc,3,2.0,3.0,-1.2238519003392454
dlrc,4,3.0,4.0,-0.5850430098141928
dlrc,5,4.0,5.0,0.28598013865787575
dlrc,6,5.0,6.0,1.23924314269756
dlrc,7,6.0,7.0,2.1218979135102813
dlrc,8,7.0,8.0,2.8388412006876056
dlrc,9,8.0,9.0,3.4355655180699394
dlrc,10,9.0,10.0,3.9557286975378725
memory,1,0.0,1.0,-2.6986208965388427
memory,2,1.0,2.0,-2.3852610569248442
memory,3,2.0,3.0,-2.0003597012384478
memory,4,3.0,4.0,-0.8661836677307209
hearing,1,1.0,2.0,-1.7124144314928473
hearing,2,2.0,3.0,-0.7595169584846531
hearing,3,3.0,4.0,0.27263683315504217
hearing,4,4.0,5.0,1.1952150354181674
nsight,1,1.0,2.0,-2.529274329219863
nsight,2,2.0,3.0,-1.8518069187810435
nsight,3,3.0,4.0,-0.025568744564597345
nsight,4,4.0,5.0,1.8511904343285632
dsight,1,1.0,2.0,-2.613647788266044
dsight,2,2.0,3.0,-2.0122961150579655
dsight,3,3.0,4.0,-0.2424668349043726
dsight,4,4.0,5.0,1.5870076773475752
