indicator,domain,measurement,general_weight,domain_weight,residual_sd,std_general_weight,std_domain_weight
depres,psychological,ordinal_probit,0.630308150497071,0.7150030612136198,1.0,0.4562520430517132,0.5175589229009329
effort,psychological,ordinal_probit,0.8465133400772281,0.6603105520882305,1.0,0.5769692357528915,0.450056551457487
sleep,psychological,ordinal_probit,0.25158057017804264,0.6540009902030464,1.0,0.20603301009789762,0.5355969760430235
happy,psychological,ordinal_probit,0.3732225492109501,0.5873452436908324,1.0,0.30634549087174134,0.48209993573553234
lonely,psychological,ordinal_probit,0.5866704082095331,0.5553565599106102,1.0,0.4563624514796355,0.43200386039512667
going,psychological,ordinal_probit,0.6864337953136339,0.5945994318254334,1.0,0.5081573130117976,0.4401736214877071
wspeed,locomotor,continuous,0.5632931020477734,0.5728651954438394,0.6581246064237302,0.5423802827206563,0.551597002583749
chr5sec,locomotor,continuous,0.5407229271337226,0.37769418678340116,0.8451503679716149,0.5043773355403579,0.3523068433378686
balance,locomotor,ordinal_probit,0.5608511425461455,0.295928265137819,1.0,0.47364597252006724,0.2499152097668164
grip,vitality,continuous,0.46525983179386865,0.6970718680278214,0.49233686043778807,0.4786655488465855,0.7171568777140432
fev,vitality,continuous,0.4936523875733167,0.5164472568192459,0.7261178641484609,0.4846120467854359,0.5069894696837207
hba,vitality,continuous,0.1324508941875166,0.00561351415055325,0.9488949440333985,0.13824172508254548,0.005858940286572265
imrc,cognitive,ordinal_probit,0.5197343583383814,0.7929205098185899,1.0,0.3771694178496296,0.5754196586991805
dlrc,cognitive,ordinal_probit,0.5335021754844119,0.8603972804609272,1.0,0.3749156255305108,0.6046393050147628
memory,cognitive,ordinal_probit,0.2513729107499909,0.33509482109507693,1.0,0.23185231060679182,0.309072717149439
hearing,sensory,ordinal_probit,0.04430892495432385,0.880903502973562,1.0,0.03323004434039745,0.6606448360820898
nsight,sensory,ordinal_probit,0.597228739613004,0.46860543203827354,1.0,0.47569101689312515,0.3732429129789904
dsight,sensory,ordinal_probit,0.6063254688432302,0.4644094078458462,1.0,0.4818626783936657,0.3690782799587065
